epoch,model,aug_type,aug,vcp,loss,val_loss,accuracy,val_accuracy,translation,noise,edge_noise,rotation,swap,dist_1,dist_4,cos_1,cos_4
182,cnn,translation,0.0,0.0,1.8816972442436963e-05,0.467716783285141,1.0,0.9559166431427002,,,,,,,,,
183,cnn,translation,0.0,0.0,1.597968912392389e-05,0.47301337122917175,1.0,0.9558333158493042,,,,,,,,,
184,cnn,translation,0.0,0.0,1.3623090126202442e-05,0.47776082158088684,1.0,0.9555833339691162,,,,,,,,,
185,cnn,translation,0.0,0.0,1.1660355994536076e-05,0.48358380794525146,1.0,0.9555000066757202,,,,,,,,,
186,cnn,translation,0.0,0.0,9.947352737071924e-06,0.48866763710975647,1.0,0.9558333158493042,,,,,,,,,
187,cnn,translation,0.0,0.0,8.498596798744984e-06,0.4944689869880676,1.0,0.9556666612625122,,,,,,,,,
188,cnn,translation,0.0,0.0,7.336224825849058e-06,0.49827441573143005,1.0,0.9559166431427002,,,,,,,,,
189,cnn,translation,0.0,0.0,6.322851731965784e-06,0.5041534900665283,1.0,0.9555833339691162,,,,,,,,,
190,cnn,translation,0.0,0.0,5.465396498038899e-06,0.5092479586601257,1.0,0.9559999704360962,,,,,,,,,
191,cnn,translation,0.0,0.0,4.7305911721196026e-06,0.5146152377128601,1.0,0.9557499885559082,,,,,,,,,
192,cnn,translation,0.0,0.0,4.0985723899211735e-06,0.5183966159820557,1.0,0.9559166431427002,,,,,,,,,
193,cnn,translation,0.0,0.0,3.568406100384891e-06,0.525183379650116,1.0,0.9555000066757202,,,,,,,,,
194,cnn,translation,0.0,0.0,3.1092802146304166e-06,0.5295282602310181,1.0,0.9557499885559082,,,,,,,,,
195,cnn,translation,0.0,0.0,2.7096684789285064e-06,0.533549427986145,1.0,0.9557499885559082,,,,,,,,,
196,cnn,translation,0.0,0.0,2.364098691032268e-06,0.5387474894523621,1.0,0.9556666612625122,,,,,,,,,
197,cnn,translation,0.0,0.0,2.082222863464267e-06,0.5440905094146729,1.0,0.9557499885559082,,,,,,,,,
198,cnn,translation,0.0,0.0,1.8119345668310416e-06,0.5456902384757996,1.0,0.956166684627533,,,,,,,,,
